,Sentence_good,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,target
249,Friends Yvette and William found a grape at the store. Yvette gave it to William,Friends Yvette and William found a grape at the store. Yvette gave it to,William,Yvette,William
250,"Then, Harriet and Rachel had a lot of fun at the shop. Rachel gave a plum to Harriet","Then, Harriet and Rachel had a lot of fun at the shop. Rachel gave a plum to",Harriet,Rachel,Harriet
251,"Then, Stacey and Brandy were working at the bar. Stacey decided to give a apple to Brandy","Then, Stacey and Brandy were working at the bar. Stacey decided to give a apple to",Brandy,Stacey,Brandy
252,"After the lunch, Susan and Mona went to the market. Mona gave a honeydew to Susan","After the lunch, Susan and Mona went to the market. Mona gave a honeydew to",Susan,Mona,Susan
253,Friends Ethel and Stella found a watermelon at the mountain. Ethel gave it to Stella,Friends Ethel and Stella found a watermelon at the mountain. Ethel gave it to,Stella,Ethel,Stella
254,"Afterwards, Diana and Pat went to the theater. Pat gave a strawberry to Diana","Afterwards, Diana and Pat went to the theater. Pat gave a strawberry to",Diana,Pat,Diana
255,"Then, Carol and Harriet had a lot of fun at the zoo. Carol gave a raspberry to Harriet","Then, Carol and Harriet had a lot of fun at the zoo. Carol gave a raspberry to",Harriet,Carol,Harriet
256,"When Mattie and Suzanne got a pineapple at the mountain, Suzanne decided to give it to Mattie","When Mattie and Suzanne got a pineapple at the mountain, Suzanne decided to give it to",Mattie,Suzanne,Mattie
257,"Then, Kelly and Marian were working at the forest. Kelly decided to give a pineapple to Marian","Then, Kelly and Marian were working at the forest. Kelly decided to give a pineapple to",Marian,Kelly,Marian
258,The park Brian and Megan went to had a cherry. Megan gave it to Brian,The park Brian and Megan went to had a cherry. Megan gave it to,Brian,Megan,Brian
259,Friends Marsha and Brian found a cherry at the river. Marsha gave it to Brian,Friends Marsha and Brian found a cherry at the river. Marsha gave it to,Brian,Marsha,Brian
260,"Then, Stacy and Lee were thinking about going to the market. Lee wanted to give a honeydew to Stacy","Then, Stacy and Lee were thinking about going to the market. Lee wanted to give a honeydew to",Stacy,Lee,Stacy
261,"After Violet and Brandy went to the desert, Violet gave a blueberry to Brandy","After Violet and Brandy went to the desert, Violet gave a blueberry to",Brandy,Violet,Brandy
262,"While Mark and Geneva were working at the store, Geneva gave a apple to Mark","While Mark and Geneva were working at the store, Geneva gave a apple to",Mark,Geneva,Mark
263,"Then, Eleanor and William went to the cave. Eleanor gave a mango to William","Then, Eleanor and William went to the cave. Eleanor gave a mango to",William,Eleanor,William
264,"Then, Dianne and Natasha were working at the cafe. Natasha decided to give a blueberry to Dianne","Then, Dianne and Natasha were working at the cafe. Natasha decided to give a blueberry to",Dianne,Natasha,Dianne
265,"After Kevin and Anne went to the shop, Kevin gave a watermelon to Anne","After Kevin and Anne went to the shop, Kevin gave a watermelon to",Anne,Kevin,Anne
266,"While Stacy and Violet were commuting to the school, Violet gave a cantaloupe to Stacy","While Stacy and Violet were commuting to the school, Violet gave a cantaloupe to",Stacy,Violet,Stacy
267,"Then, Bernadette and Sheila went to the store. Bernadette gave a honeydew to Sheila","Then, Bernadette and Sheila went to the store. Bernadette gave a honeydew to",Sheila,Bernadette,Sheila
268,"When Marian and Lee got a peach at the shop, Lee decided to give the peach to Marian","When Marian and Lee got a peach at the shop, Lee decided to give the peach to",Marian,Lee,Marian
269,"When Leigh and Jacqueline got a pineapple at the lake, Leigh decided to give the pineapple to Jacqueline","When Leigh and Jacqueline got a pineapple at the lake, Leigh decided to give the pineapple to",Jacqueline,Leigh,Jacqueline
270,Friends Yolanda and Maggie found a coconut at the cafe. Maggie gave it to Yolanda,Friends Yolanda and Maggie found a coconut at the cafe. Maggie gave it to,Yolanda,Maggie,Yolanda
271,The bar Marsha and Charlene went to had a raspberry. Marsha gave it to Charlene,The bar Marsha and Charlene went to had a raspberry. Marsha gave it to,Charlene,Marsha,Charlene
272,"While Amanda and Eleanor were commuting to the forest, Eleanor gave a coconut to Amanda","While Amanda and Eleanor were commuting to the forest, Eleanor gave a coconut to",Amanda,Eleanor,Amanda
273,"Then, Martha and Brian were thinking about going to the cafe. Martha wanted to give a strawberry to Brian","Then, Martha and Brian were thinking about going to the cafe. Martha wanted to give a strawberry to",Brian,Martha,Brian
274,"While Ginger and Kelly were commuting to the store, Kelly gave a kiwi to Ginger","While Ginger and Kelly were commuting to the store, Kelly gave a kiwi to",Ginger,Kelly,Ginger
275,"When Faye and Jerry got a plum at the lake, Faye decided to give the plum to Jerry","When Faye and Jerry got a plum at the lake, Faye decided to give the plum to",Jerry,Faye,Jerry
276,"When Stacy and Kelly got a honeydew at the cafe, Kelly decided to give the honeydew to Stacy","When Stacy and Kelly got a honeydew at the cafe, Kelly decided to give the honeydew to",Stacy,Kelly,Stacy
277,"Then, Marsha and William were thinking about going to the home. Marsha wanted to give a cantaloupe to William","Then, Marsha and William were thinking about going to the home. Marsha wanted to give a cantaloupe to",William,Marsha,William
278,The shop Jerry and Yvette went to had a watermelon. Yvette gave it to Jerry,The shop Jerry and Yvette went to had a watermelon. Yvette gave it to,Jerry,Yvette,Jerry
279,"After Jody and Wilma went to the market, Jody gave a blackberry to Wilma","After Jody and Wilma went to the market, Jody gave a blackberry to",Wilma,Jody,Wilma
280,The forest Alyssa and Inez went to had a blackberry. Inez gave it to Alyssa,The forest Alyssa and Inez went to had a blackberry. Inez gave it to,Alyssa,Inez,Alyssa
281,"While Lula and Angie were working at the shop, Lula gave a kiwi to Angie","While Lula and Angie were working at the shop, Lula gave a kiwi to",Angie,Lula,Angie
282,The park Jacqueline and Teresa went to had a orange. Teresa gave it to Jacqueline,The park Jacqueline and Teresa went to had a orange. Teresa gave it to,Jacqueline,Teresa,Jacqueline
283,"When Inez and Melanie got a watermelon at the cave, Inez decided to give the watermelon to Melanie","When Inez and Melanie got a watermelon at the cave, Inez decided to give the watermelon to",Melanie,Inez,Melanie
284,"Then, Virginia and Marsha were thinking about going to the cafe. Marsha wanted to give a pear to Virginia","Then, Virginia and Marsha were thinking about going to the cafe. Marsha wanted to give a pear to",Virginia,Marsha,Virginia
285,"Then, Kari and Juana were working at the cave. Kari decided to give a cantaloupe to Juana","Then, Kari and Juana were working at the cave. Kari decided to give a cantaloupe to",Juana,Kari,Juana
286,"While Doris and Maggie were commuting to the cave, Maggie gave a kiwi to Doris","While Doris and Maggie were commuting to the cave, Maggie gave a kiwi to",Doris,Maggie,Doris
287,Friends Pauline and Mark found a apple at the park. Pauline gave it to Mark,Friends Pauline and Mark found a apple at the park. Pauline gave it to,Mark,Pauline,Mark
288,"After the lunch, Kathryn and Bernadette went to the home. Bernadette gave a blueberry to Kathryn","After the lunch, Kathryn and Bernadette went to the home. Bernadette gave a blueberry to",Kathryn,Bernadette,Kathryn
289,"Then, Jackie and Juana went to the park. Jackie gave a grape to Juana","Then, Jackie and Juana went to the park. Jackie gave a grape to",Juana,Jackie,Juana
290,"Afterwards, Stacy and Sonia went to the river. Sonia gave a pineapple to Stacy","Afterwards, Stacy and Sonia went to the river. Sonia gave a pineapple to",Stacy,Sonia,Stacy
291,Friends Pauline and Ginger found a blueberry at the desert. Pauline gave it to Ginger,Friends Pauline and Ginger found a blueberry at the desert. Pauline gave it to,Ginger,Pauline,Ginger
292,"Then, Amanda and Gwen went to the desert. Gwen gave a honeydew to Amanda","Then, Amanda and Gwen went to the desert. Gwen gave a honeydew to",Amanda,Gwen,Amanda
293,"Then, Velma and Alyssa were working at the forest. Velma decided to give a strawberry to Alyssa","Then, Velma and Alyssa were working at the forest. Velma decided to give a strawberry to",Alyssa,Velma,Alyssa
294,"Then, Jessie and Sophia were thinking about going to the lake. Sophia wanted to give a honeydew to Jessie","Then, Jessie and Sophia were thinking about going to the lake. Sophia wanted to give a honeydew to",Jessie,Sophia,Jessie
295,"Afterwards, Geneva and Amanda went to the shop. Geneva gave a apple to Amanda","Afterwards, Geneva and Amanda went to the shop. Geneva gave a apple to",Amanda,Geneva,Amanda
296,"Then, Paula and Sophia were thinking about going to the museum. Sophia wanted to give a pear to Paula","Then, Paula and Sophia were thinking about going to the museum. Sophia wanted to give a pear to",Paula,Sophia,Paula
297,"After Lee and Evelyn went to the lake, Lee gave a grape to Evelyn","After Lee and Evelyn went to the lake, Lee gave a grape to",Evelyn,Lee,Evelyn
298,"Then, Sarah and Martha were working at the gym. Martha decided to give a plum to Sarah","Then, Sarah and Martha were working at the gym. Martha decided to give a plum to",Sarah,Martha,Sarah
299,"Then, Eleanor and Jacqueline had a lot of fun at the cave. Eleanor gave a peach to Jacqueline","Then, Eleanor and Jacqueline had a lot of fun at the cave. Eleanor gave a peach to",Jacqueline,Eleanor,Jacqueline
300,"While Rosa and Leigh were commuting to the bar, Leigh gave a cherry to Rosa","While Rosa and Leigh were commuting to the bar, Leigh gave a cherry to",Rosa,Leigh,Rosa
301,The shop Rebecca and William went to had a plum. Rebecca gave it to William,The shop Rebecca and William went to had a plum. Rebecca gave it to,William,Rebecca,William
302,"After the lunch, Sheila and Melissa went to the theater. Melissa gave a raspberry to Sheila","After the lunch, Sheila and Melissa went to the theater. Melissa gave a raspberry to",Sheila,Melissa,Sheila
303,"After the lunch, Inez and Susan went to the bar. Inez gave a cherry to Susan","After the lunch, Inez and Susan went to the bar. Inez gave a cherry to",Susan,Inez,Susan
304,"When Mark and Kelly got a plum at the store, Kelly decided to give it to Mark","When Mark and Kelly got a plum at the store, Kelly decided to give it to",Mark,Kelly,Mark
305,"While Eleanor and Yolanda were commuting to the river, Eleanor gave a apple to Yolanda","While Eleanor and Yolanda were commuting to the river, Eleanor gave a apple to",Yolanda,Eleanor,Yolanda
306,"Then, Marian and Sophia had a lot of fun at the shop. Sophia gave a papaya to Marian","Then, Marian and Sophia had a lot of fun at the shop. Sophia gave a papaya to",Marian,Sophia,Marian
307,"Then, Shannon and Kathryn were working at the cave. Shannon decided to give a watermelon to Kathryn","Then, Shannon and Kathryn were working at the cave. Shannon decided to give a watermelon to",Kathryn,Shannon,Kathryn
308,"While Sheila and Natasha were working at the mountain, Natasha gave a coconut to Sheila","While Sheila and Natasha were working at the mountain, Natasha gave a coconut to",Sheila,Natasha,Sheila
309,"Then, Jessica and Wilma went to the library. Jessica gave a peach to Wilma","Then, Jessica and Wilma went to the library. Jessica gave a peach to",Wilma,Jessica,Wilma
310,"Then, Angie and Pat had a lot of fun at the forest. Pat gave a pear to Angie","Then, Angie and Pat had a lot of fun at the forest. Pat gave a pear to",Angie,Pat,Angie
311,"After Mona and Wilma went to the store, Mona gave a honeydew to Wilma","After Mona and Wilma went to the store, Mona gave a honeydew to",Wilma,Mona,Wilma
312,Friends Deanna and Sonia found a coconut at the museum. Sonia gave it to Deanna,Friends Deanna and Sonia found a coconut at the museum. Sonia gave it to,Deanna,Sonia,Deanna
313,Friends Sophia and Brian found a mango at the gym. Sophia gave it to Brian,Friends Sophia and Brian found a mango at the gym. Sophia gave it to,Brian,Sophia,Brian
314,"After the lunch, Stacy and Maggie went to the desert. Maggie gave a blackberry to Stacy","After the lunch, Stacy and Maggie went to the desert. Maggie gave a blackberry to",Stacy,Maggie,Stacy
315,"When Faye and Evelyn got a papaya at the cafe, Faye decided to give it to Evelyn","When Faye and Evelyn got a papaya at the cafe, Faye decided to give it to",Evelyn,Faye,Evelyn
316,"While Ginger and Megan were commuting to the beach, Megan gave a watermelon to Ginger","While Ginger and Megan were commuting to the beach, Megan gave a watermelon to",Ginger,Megan,Ginger
317,Friends Mona and Ginger found a watermelon at the lake. Mona gave it to Ginger,Friends Mona and Ginger found a watermelon at the lake. Mona gave it to,Ginger,Mona,Ginger
318,"Then, Amanda and Kari had a lot of fun at the theater. Kari gave a apple to Amanda","Then, Amanda and Kari had a lot of fun at the theater. Kari gave a apple to",Amanda,Kari,Amanda
319,"When Lula and Diana got a cantaloupe at the river, Lula decided to give it to Diana","When Lula and Diana got a cantaloupe at the river, Lula decided to give it to",Diana,Lula,Diana
320,"While Charlene and Marsha were commuting to the library, Marsha gave a cherry to Charlene","While Charlene and Marsha were commuting to the library, Marsha gave a cherry to",Charlene,Marsha,Charlene
321,"While Rachel and Angie were commuting to the zoo, Rachel gave a orange to Angie","While Rachel and Angie were commuting to the zoo, Rachel gave a orange to",Angie,Rachel,Angie
322,Friends Kim and Sophia found a banana at the river. Sophia gave it to Kim,Friends Kim and Sophia found a banana at the river. Sophia gave it to,Kim,Sophia,Kim
323,"While Richard and Susan were working at the park, Richard gave a papaya to Susan","While Richard and Susan were working at the park, Richard gave a papaya to",Susan,Richard,Susan
324,"After Brian and Marilyn went to the forest, Marilyn gave a grape to Brian","After Brian and Marilyn went to the forest, Marilyn gave a grape to",Brian,Marilyn,Brian
325,"After Richard and Yolanda went to the store, Richard gave a cantaloupe to Yolanda","After Richard and Yolanda went to the store, Richard gave a cantaloupe to",Yolanda,Richard,Yolanda
326,"Then, Leona and Jessica were working at the bar. Jessica decided to give a papaya to Leona","Then, Leona and Jessica were working at the bar. Jessica decided to give a papaya to",Leona,Jessica,Leona
327,"While Kristina and Yolanda were commuting to the school, Kristina gave a orange to Yolanda","While Kristina and Yolanda were commuting to the school, Kristina gave a orange to",Yolanda,Kristina,Yolanda
328,"Then, Sheila and Martha were working at the gym. Martha decided to give a cherry to Sheila","Then, Sheila and Martha were working at the gym. Martha decided to give a cherry to",Sheila,Martha,Sheila
329,The shop Alice and Anita went to had a apple. Alice gave it to Anita,The shop Alice and Anita went to had a apple. Alice gave it to,Anita,Alice,Anita
330,"After Kathryn and Sonia went to the theater, Sonia gave a coconut to Kathryn","After Kathryn and Sonia went to the theater, Sonia gave a coconut to",Kathryn,Sonia,Kathryn
331,"After the lunch, Ethel and Evelyn went to the beach. Ethel gave a kiwi to Evelyn","After the lunch, Ethel and Evelyn went to the beach. Ethel gave a kiwi to",Evelyn,Ethel,Evelyn
332,"While Amanda and Pat were working at the market, Pat gave a coconut to Amanda","While Amanda and Pat were working at the market, Pat gave a coconut to",Amanda,Pat,Amanda
333,"Then, Inez and Rosa went to the school. Inez gave a papaya to Rosa","Then, Inez and Rosa went to the school. Inez gave a papaya to",Rosa,Inez,Rosa
334,"While Alyssa and Kari were working at the desert, Kari gave a pineapple to Alyssa","While Alyssa and Kari were working at the desert, Kari gave a pineapple to",Alyssa,Kari,Alyssa
335,"When Violet and Virginia got a strawberry at the zoo, Violet decided to give the strawberry to Virginia","When Violet and Virginia got a strawberry at the zoo, Violet decided to give the strawberry to",Virginia,Violet,Virginia
336,"After the lunch, Susan and Miriam went to the lake. Miriam gave a grape to Susan","After the lunch, Susan and Miriam went to the lake. Miriam gave a grape to",Susan,Miriam,Susan
337,"When Leigh and Melanie got a blackberry at the school, Leigh decided to give the blackberry to Melanie","When Leigh and Melanie got a blackberry at the school, Leigh decided to give the blackberry to",Melanie,Leigh,Melanie
338,"While Loretta and Rachel were working at the library, Rachel gave a coconut to Loretta","While Loretta and Rachel were working at the library, Rachel gave a coconut to",Loretta,Rachel,Loretta
339,"While Richard and Chelsea were commuting to the market, Richard gave a blackberry to Chelsea","While Richard and Chelsea were commuting to the market, Richard gave a blackberry to",Chelsea,Richard,Chelsea
340,"Afterwards, Ginger and Irma went to the school. Irma gave a pear to Ginger","Afterwards, Ginger and Irma went to the school. Irma gave a pear to",Ginger,Irma,Ginger
341,"When Melissa and Amanda got a cantaloupe at the theater, Melissa decided to give the cantaloupe to Amanda","When Melissa and Amanda got a cantaloupe at the theater, Melissa decided to give the cantaloupe to",Amanda,Melissa,Amanda
342,"After the lunch, Loretta and Velma went to the museum. Velma gave a cherry to Loretta","After the lunch, Loretta and Velma went to the museum. Velma gave a cherry to",Loretta,Velma,Loretta
343,"After Marsha and Anita went to the bar, Marsha gave a watermelon to Anita","After Marsha and Anita went to the bar, Marsha gave a watermelon to",Anita,Marsha,Anita
344,"When Ella and Irma got a blueberry at the cafe, Irma decided to give the blueberry to Ella","When Ella and Irma got a blueberry at the cafe, Irma decided to give the blueberry to",Ella,Irma,Ella
345,"Then, Estelle and Jerry went to the forest. Estelle gave a plum to Jerry","Then, Estelle and Jerry went to the forest. Estelle gave a plum to",Jerry,Estelle,Jerry
346,"After Alyssa and Pauline went to the gym, Pauline gave a orange to Alyssa","After Alyssa and Pauline went to the gym, Pauline gave a orange to",Alyssa,Pauline,Alyssa
347,"Afterwards, Marilyn and Sarah went to the theater. Marilyn gave a banana to Sarah","Afterwards, Marilyn and Sarah went to the theater. Marilyn gave a banana to",Sarah,Marilyn,Sarah
348,"After the lunch, Ginger and Inez went to the forest. Inez gave a cherry to Ginger","After the lunch, Ginger and Inez went to the forest. Inez gave a cherry to",Ginger,Inez,Ginger
349,Friends Marsha and Sarah found a grape at the shop. Marsha gave it to Sarah,Friends Marsha and Sarah found a grape at the shop. Marsha gave it to,Sarah,Marsha,Sarah
350,"Then, Virginia and Shannon were working at the mountain. Shannon decided to give a mango to Virginia","Then, Virginia and Shannon were working at the mountain. Shannon decided to give a mango to",Virginia,Shannon,Virginia
351,"Then, Jessica and Juana were working at the forest. Jessica decided to give a pear to Juana","Then, Jessica and Juana were working at the forest. Jessica decided to give a pear to",Juana,Jessica,Juana
352,"When Jacqueline and Kevin got a strawberry at the store, Kevin decided to give the strawberry to Jacqueline","When Jacqueline and Kevin got a strawberry at the store, Kevin decided to give the strawberry to",Jacqueline,Kevin,Jacqueline
353,"Then, Kari and Leona were thinking about going to the beach. Kari wanted to give a apple to Leona","Then, Kari and Leona were thinking about going to the beach. Kari wanted to give a apple to",Leona,Kari,Leona
354,"Then, Juana and Jody had a lot of fun at the school. Jody gave a cantaloupe to Juana","Then, Juana and Jody had a lot of fun at the school. Jody gave a cantaloupe to",Juana,Jody,Juana
355,"Then, Robin and Mattie had a lot of fun at the forest. Robin gave a honeydew to Mattie","Then, Robin and Mattie had a lot of fun at the forest. Robin gave a honeydew to",Mattie,Robin,Mattie
356,"After the lunch, Carmen and Robin went to the lake. Robin gave a plum to Carmen","After the lunch, Carmen and Robin went to the lake. Robin gave a plum to",Carmen,Robin,Carmen
357,"While Kevin and Marian were working at the gym, Kevin gave a pineapple to Marian","While Kevin and Marian were working at the gym, Kevin gave a pineapple to",Marian,Kevin,Marian
358,"After Theresa and Marsha went to the museum, Marsha gave a honeydew to Theresa","After Theresa and Marsha went to the museum, Marsha gave a honeydew to",Theresa,Marsha,Theresa
359,"Then, Fannie and Sarah were working at the school. Fannie decided to give a cantaloupe to Sarah","Then, Fannie and Sarah were working at the school. Fannie decided to give a cantaloupe to",Sarah,Fannie,Sarah
360,"Then, Loretta and Velma went to the school. Velma gave a watermelon to Loretta","Then, Loretta and Velma went to the school. Velma gave a watermelon to",Loretta,Velma,Loretta
361,"Then, Agnes and Juana went to the gym. Agnes gave a plum to Juana","Then, Agnes and Juana went to the gym. Agnes gave a plum to",Juana,Agnes,Juana
362,"Then, Anita and Natasha were thinking about going to the museum. Natasha wanted to give a banana to Anita","Then, Anita and Natasha were thinking about going to the museum. Natasha wanted to give a banana to",Anita,Natasha,Anita
363,"While Faye and Sheila were working at the home, Faye gave a kiwi to Sheila","While Faye and Sheila were working at the home, Faye gave a kiwi to",Sheila,Faye,Sheila
364,"After the lunch, Leona and Martha went to the gym. Martha gave a banana to Leona","After the lunch, Leona and Martha went to the gym. Martha gave a banana to",Leona,Martha,Leona
365,"After the lunch, Carol and Stella went to the beach. Carol gave a raspberry to Stella","After the lunch, Carol and Stella went to the beach. Carol gave a raspberry to",Stella,Carol,Stella
366,"After the lunch, Alyssa and Ethel went to the bar. Ethel gave a coconut to Alyssa","After the lunch, Alyssa and Ethel went to the bar. Ethel gave a coconut to",Alyssa,Ethel,Alyssa
367,"Then, Grace and Stella went to the mountain. Grace gave a coconut to Stella","Then, Grace and Stella went to the mountain. Grace gave a coconut to",Stella,Grace,Stella
368,The library Loretta and Estelle went to had a pear. Estelle gave it to Loretta,The library Loretta and Estelle went to had a pear. Estelle gave it to,Loretta,Estelle,Loretta
369,"While Alice and Wilma were working at the library, Alice gave a blackberry to Wilma","While Alice and Wilma were working at the library, Alice gave a blackberry to",Wilma,Alice,Wilma
370,Friends Mark and Geneva found a watermelon at the mountain. Geneva gave it to Mark,Friends Mark and Geneva found a watermelon at the mountain. Geneva gave it to,Mark,Geneva,Mark
371,"Then, Eleanor and Doris were working at the gym. Eleanor decided to give a coconut to Doris","Then, Eleanor and Doris were working at the gym. Eleanor decided to give a coconut to",Doris,Eleanor,Doris
372,"Afterwards, Heidi and Richard went to the gym. Richard gave a pineapple to Heidi","Afterwards, Heidi and Richard went to the gym. Richard gave a pineapple to",Heidi,Richard,Heidi
373,Friends Marsha and Marian found a watermelon at the school. Marsha gave it to Marian,Friends Marsha and Marian found a watermelon at the school. Marsha gave it to,Marian,Marsha,Marian
374,"Then, Jessie and Violet went to the store. Violet gave a grape to Jessie","Then, Jessie and Violet went to the store. Violet gave a grape to",Jessie,Violet,Jessie
375,"While Carol and Juana were commuting to the theater, Carol gave a watermelon to Juana","While Carol and Juana were commuting to the theater, Carol gave a watermelon to",Juana,Carol,Juana
376,Friends Wilma and Jessica found a pear at the museum. Jessica gave it to Wilma,Friends Wilma and Jessica found a pear at the museum. Jessica gave it to,Wilma,Jessica,Wilma
377,"While Richard and Harriet were commuting to the library, Richard gave a grape to Harriet","While Richard and Harriet were commuting to the library, Richard gave a grape to",Harriet,Richard,Harriet
378,Friends Sarah and Martha found a blackberry at the cave. Martha gave it to Sarah,Friends Sarah and Martha found a blackberry at the cave. Martha gave it to,Sarah,Martha,Sarah
379,Friends Megan and Paula found a peach at the theater. Megan gave it to Paula,Friends Megan and Paula found a peach at the theater. Megan gave it to,Paula,Megan,Paula
380,Friends Susan and Teresa found a cherry at the cafe. Teresa gave it to Susan,Friends Susan and Teresa found a cherry at the cafe. Teresa gave it to,Susan,Teresa,Susan
381,"While Estelle and Heidi were working at the market, Estelle gave a orange to Heidi","While Estelle and Heidi were working at the market, Estelle gave a orange to",Heidi,Estelle,Heidi
382,"After Ella and Gwen went to the mountain, Gwen gave a watermelon to Ella","After Ella and Gwen went to the mountain, Gwen gave a watermelon to",Ella,Gwen,Ella
383,"Then, Erika and Chelsea had a lot of fun at the zoo. Erika gave a kiwi to Chelsea","Then, Erika and Chelsea had a lot of fun at the zoo. Erika gave a kiwi to",Chelsea,Erika,Chelsea
384,The gym Juana and Rachel went to had a papaya. Rachel gave it to Juana,The gym Juana and Rachel went to had a papaya. Rachel gave it to,Juana,Rachel,Juana
385,"While Kari and Doris were working at the store, Kari gave a kiwi to Doris","While Kari and Doris were working at the store, Kari gave a kiwi to",Doris,Kari,Doris
386,"After Stacy and Irma went to the gym, Irma gave a pear to Stacy","After Stacy and Irma went to the gym, Irma gave a pear to",Stacy,Irma,Stacy
387,"Then, Rebecca and Anita were thinking about going to the beach. Rebecca wanted to give a cherry to Anita","Then, Rebecca and Anita were thinking about going to the beach. Rebecca wanted to give a cherry to",Anita,Rebecca,Anita
388,"After the lunch, Evelyn and Jessica went to the gym. Jessica gave a peach to Evelyn","After the lunch, Evelyn and Jessica went to the gym. Jessica gave a peach to",Evelyn,Jessica,Evelyn
389,"While Velma and Paula were commuting to the park, Velma gave a grape to Paula","While Velma and Paula were commuting to the park, Velma gave a grape to",Paula,Velma,Paula
390,"Then, Rosa and Erika were thinking about going to the mountain. Erika wanted to give a plum to Rosa","Then, Rosa and Erika were thinking about going to the mountain. Erika wanted to give a plum to",Rosa,Erika,Rosa
391,"Then, Maggie and Leona had a lot of fun at the store. Maggie gave a grape to Leona","Then, Maggie and Leona had a lot of fun at the store. Maggie gave a grape to",Leona,Maggie,Leona
392,"Afterwards, Susan and Gwen went to the gym. Gwen gave a coconut to Susan","Afterwards, Susan and Gwen went to the gym. Gwen gave a coconut to",Susan,Gwen,Susan
393,"When Jackie and Susan got a coconut at the library, Jackie decided to give it to Susan","When Jackie and Susan got a coconut at the library, Jackie decided to give it to",Susan,Jackie,Susan
394,"When William and Natasha got a kiwi at the shop, Natasha decided to give it to William","When William and Natasha got a kiwi at the shop, Natasha decided to give it to",William,Natasha,William
395,"Then, Rebecca and Deanna were thinking about going to the library. Rebecca wanted to give a grape to Deanna","Then, Rebecca and Deanna were thinking about going to the library. Rebecca wanted to give a grape to",Deanna,Rebecca,Deanna
396,"Then, Nellie and Faye had a lot of fun at the library. Faye gave a watermelon to Nellie","Then, Nellie and Faye had a lot of fun at the library. Faye gave a watermelon to",Nellie,Faye,Nellie
397,"When Violet and Heidi got a papaya at the lake, Violet decided to give it to Heidi","When Violet and Heidi got a papaya at the lake, Violet decided to give it to",Heidi,Violet,Heidi
398,"Then, Nellie and Mona were thinking about going to the store. Mona wanted to give a grape to Nellie","Then, Nellie and Mona were thinking about going to the store. Mona wanted to give a grape to",Nellie,Mona,Nellie
399,"After the lunch, Kelly and Theresa went to the park. Kelly gave a cherry to Theresa","After the lunch, Kelly and Theresa went to the park. Kelly gave a cherry to",Theresa,Kelly,Theresa
400,"Then, Ginger and Jessica went to the market. Jessica gave a watermelon to Ginger","Then, Ginger and Jessica went to the market. Jessica gave a watermelon to",Ginger,Jessica,Ginger
401,Friends Marilyn and Theresa found a blueberry at the theater. Marilyn gave it to Theresa,Friends Marilyn and Theresa found a blueberry at the theater. Marilyn gave it to,Theresa,Marilyn,Theresa
402,The library Rosemarie and Grace went to had a strawberry. Grace gave it to Rosemarie,The library Rosemarie and Grace went to had a strawberry. Grace gave it to,Rosemarie,Grace,Rosemarie
403,"Then, Carol and Ella had a lot of fun at the zoo. Carol gave a pineapple to Ella","Then, Carol and Ella had a lot of fun at the zoo. Carol gave a pineapple to",Ella,Carol,Ella
404,"After Stacy and Erika went to the cafe, Erika gave a cantaloupe to Stacy","After Stacy and Erika went to the cafe, Erika gave a cantaloupe to",Stacy,Erika,Stacy
405,"Then, Eleanor and Stella were thinking about going to the park. Eleanor wanted to give a blueberry to Stella","Then, Eleanor and Stella were thinking about going to the park. Eleanor wanted to give a blueberry to",Stella,Eleanor,Stella
406,"When Charlene and Mona got a raspberry at the mountain, Mona decided to give it to Charlene","When Charlene and Mona got a raspberry at the mountain, Mona decided to give it to",Charlene,Mona,Charlene
407,"When Carol and Rosemarie got a coconut at the bar, Carol decided to give the coconut to Rosemarie","When Carol and Rosemarie got a coconut at the bar, Carol decided to give the coconut to",Rosemarie,Carol,Rosemarie
408,"While Kim and Robin were commuting to the mountain, Robin gave a kiwi to Kim","While Kim and Robin were commuting to the mountain, Robin gave a kiwi to",Kim,Robin,Kim
409,"Then, Marilyn and Jacqueline were working at the desert. Marilyn decided to give a peach to Jacqueline","Then, Marilyn and Jacqueline were working at the desert. Marilyn decided to give a peach to",Jacqueline,Marilyn,Jacqueline
410,The beach Heidi and Alice went to had a cherry. Alice gave it to Heidi,The beach Heidi and Alice went to had a cherry. Alice gave it to,Heidi,Alice,Heidi
411,"After Miriam and Deanna went to the library, Miriam gave a mango to Deanna","After Miriam and Deanna went to the library, Miriam gave a mango to",Deanna,Miriam,Deanna
412,"After the lunch, Virginia and Martha went to the river. Martha gave a mango to Virginia","After the lunch, Virginia and Martha went to the river. Martha gave a mango to",Virginia,Martha,Virginia
413,"When Irma and Nellie got a watermelon at the desert, Irma decided to give the watermelon to Nellie","When Irma and Nellie got a watermelon at the desert, Irma decided to give the watermelon to",Nellie,Irma,Nellie
414,"While Doris and Yvette were working at the mountain, Yvette gave a mango to Doris","While Doris and Yvette were working at the mountain, Yvette gave a mango to",Doris,Yvette,Doris
415,"Then, Grace and Ginger were thinking about going to the zoo. Grace wanted to give a blueberry to Ginger","Then, Grace and Ginger were thinking about going to the zoo. Grace wanted to give a blueberry to",Ginger,Grace,Ginger
